"id","y"
1,5.87068916831273
2,7.86122217294977
3,7.38316459075866
4,7.81595879811555
5,6.18056579728334
6,7.72777330885508
7,7.55673353819214
8,6.58425278647836
9,6.61881097236494
10,5.96599390023726
11,6.00847203385031
12,6.36088397975807
13,5.78184418575909
14,6.52297317676046
15,5.86047313180532
16,6.63782547500121
17,5.97443648119468
18,4.92436357914235
19,5.7399206781942
20,5.81941762521261
21,5.98318720134257
22,7.22512333723181
23,8.41408054426665
24,7.74359423175611
25,6.74479582398246
26,5.16995006731353
27,8.8778579611589
28,6.25353781737547
29,6.24313997606387
30,6.00835154672748
31,7.25481084573147
32,8.58004771345467
33,5.66764443022182
34,5.87327040103623
35,6.89755902209061
36,5.46650856533923
37,7.55426339922647
38,6.97543029914996
39,6.26139873645477
40,7.14841143456075
41,6.8210740976175
42,6.12907704400934
43,7.28528939796958
44,7.89056868613332
45,5.5907029670623
46,6.47029561279287
47,6.86409297837704
48,6.07194038461181
49,5.89135844101989
50,6.51985005013151
51,5.01029296848487
52,7.69894409516582
53,7.89298190140459
54,6.78851138829687
55,8.83974252485252
56,7.612338387523
57,7.79359499333913
58,5.7646225585024
59,6.55108892625746
60,6.78776245811708
61,8.05308508549905
62,4.60309034011218
63,5.5741615388112
64,7.81844133344243
65,5.95585200322391
66,7.98050798628835
67,6.13199081872469
68,5.66418895485906
69,6.95500870267498
70,4.13929156398366
71,6.71381526696292
72,6.42631662629634
73,6.54182219436427
74,7.60865829109015
75,6.28256610681114
76,6.03667945951876
77,6.45338105747276
78,5.74996433451706
79,5.40303271488691
80,5.79711536366999
81,6.18997352430529
82,6.28985920060548
83,6.56893310842888
84,6.54375323398435
85,6.51836371497066
86,6.06357612078457
87,7.00079988681527
88,6.766181218616
89,6.29188720593079
90,7.91087385686191
91,6.32997142979701
92,6.75032337965817
93,6.25147533095534
94,6.19077778918347
95,6.44474994899993
96,6.66554232444701
97,6.52277588177398
98,7.33224362716097
99,5.99955172348404
100,7.03796212681759
101,5.53764381878309
102,5.87342765810313
103,6.3572261606747
104,4.89765291935556
105,6.41762401831107
